ecomics_rxn_id,ecomics_rxn
R0044,Exch. (G6P <-> F6P)
R0045,Exch. (3PG <-> PEP)
R0046,Exch. (R5P + X5P <-> S7P + G3P)
R0047,Exch. (S7P + G3P <-> E4P + F6P)
R0048,Exch. (X5P + E4P <-> F6P + G3P)
R0049,Exch. (MAL <-> OAA)
R0050,Exch. (PEP + CO2 <-> OAA)
R0059,Exch. (F16P <=> DHAP + G3P)
R0060,Exch. DHAP <=> G3P
R0061,Exch. Ru5P <=> X5P
R0062,Exch. Ru5P <=> R5P
R0063,Exch. FUM <=> MAL
R0064,F6P <=> E4P + E-C2 (net);F6P <=> E4P + E-C2 (exch)
R0066,F6P <=> GAP + E-C3 (net);F6P <=> GAP + E-C3 (exch)
R0071,AcCoA + ADP + Pi <=> Ac + ATP (net);AcCoA + ADP + Pi <=> Ac + ATP (exch)
R0100,ATP -> ATP.Ext
R0101,Ac -> Ac.Ext
R0102,CO2 -> CO2.Ext
R0103,O2.Ext -> O2
R0104,NH3.Ext -> NH3
R0105,SO4.Ext -> SO4
R0108,GAP + NAD + ADP + Pi <=> 3PG + ATP + NADH (exch)
R0110,S7P <=> R5P + E-C2 (exch)
R0112,Cit <=> ICit (exch)
R0113,ICit + NADP <=> AKG + CO2 + NADPH (exch)
R0114,SucCoA + ADP + Pi <=> Suc + ATP (exch)
R0115,Suc + FAD <=> Fum + FADH2 (exch)
R0116,ICit <=> Glyox + Suc (exch)
R0118,Ser + THF <=> Gly + MEETHF (exch);Ser + THF <=> Gly + MEETHF (net)
R0119,Gly + THF + NAD <=> CO2 + MEETHF + NH3 + NADH (exch);Gly + THF + NAD <=> CO2 + MEETHF + NH3 + NADH (net)
