EX_glc__D_e_i,EX_ala__L_e_i,EX_arg__L_e_i,EX_asn__L_e_i,EX_asp__L_e_i,EX_glu__L_e_i,EX_gln__L_e_i,EX_gly_e_i,EX_his__L_e_i,EX_ile__L_e_i,EX_leu__L_e_i,EX_lys__L_e_i,EX_met__L_e_i,EX_phe__L_e_i,EX_pro__L_e_i,EX_ser__L_e_i,EX_thr__L_e_i,EX_trp__L_e_i,EX_tyr__L_e_i,EX_val__L_e_i,EX_thm_e_i,EX_pydxn_e_i,EX_cys__L_e_i,EX_cl_e_i,EX_nh4_e_i,EX_so4_e_i,EX_pi_e_i,EX_k_e_i,EX_na1_e_i,EX_mg2_e_i,EX_ca2_e_i,EX_fe2_e_i,EX_zn2_e_i,EX_cu2_e_i,EX_mobd_e_i,EX_cit_e_i,EX_tsul_e_i,EX_o2_e_i,EX_co2_e_i,EX_h_e_i,EX_h2o_e_i,EX_fe3_e_i,EX_mn2_e_i,EX_ni2_e_i,EX_sel_e_i,EX_cobalt2_e_i,EX_tungs_e_i,EX_slnt_e_i,GR_AVG
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.124160215258598328e+01,6.427442021667957306e+00,1.021484725177288055e+01,7.855567568913102150e-01,8.818070925772190094e+00,1.205987304449081421e+01,6.530555076897144318e+00,4.108520857989788055e+00,0.000000000000000000e+00,1.134484402835369110e+01,3.977799154818058014e+00,0.000000000000000000e+00,1.502296095713973045e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.480180889368057251e+00,9.512679763138294220e+00,4.421801436692476273e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.496855374425649643e+00,1.112535718828439713e+01,8.931517228484153748e+00,0.000000000000000000e+00,1.386426091194152832e+01,1.780928727239370346e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.828802233561873436e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.691501073539257050e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.231808461248874664e+01,9.795329719781875610e+00,0.000000000000000000e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.265425100922584534e+01,1.059820868074893951e+01,1.064939007163047791e+01,5.192271769046783447e+00,1.057687614113092422e+01,8.688871003687381744e+00,7.877991721034049988e+00,5.322857573628425598e+00,0.000000000000000000e+00,1.389215692877769470e+01,4.155714828521013260e+00,0.000000000000000000e+00,3.490073271095752716e+00,0.000000000000000000e+00,7.878933809697628021e+00,1.199703410267829895e+01,1.159286390990018845e+01,7.312529720366001129e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.725480102002620697e+00,0.000000000000000000e+00,1.216263644397258759e+01,1.082659546285867691e+01,0.000000000000000000e+00,1.630925066769123077e+01,1.386206671595573425e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.804746866226196289e+01,1.993464708328247070e+01,0.000000000000000000e+00,1.166809227317571640e+01,4.017932415008544922e+00,0.000000000000000000e+00,1.120144128799438477e+01,1.283463373780250549e+01,1.351957008083333411e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.312091827392578125e+01,1.143215533345937729e+01,1.045598372817039490e+01,4.181715697050094604e+00,1.268682278692722321e+01,8.904769271612167358e+00,8.126369044184684753e+00,6.572440154850482941e+00,0.000000000000000000e+00,1.077911164611577988e+01,3.280081991106271744e+00,0.000000000000000000e+00,5.127208903431892395e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355529405176639557e+01,1.308734707534313202e+01,8.888792693614959717e+00,0.000000000000000000e+00,8.279190005850978196e-03,1.420575141906738281e+01,0.000000000000000000e+00,1.490364588797092438e+01,1.008281752467155457e+01,0.000000000000000000e+00,2.053906738758087158e+01,1.134157821536064148e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.742362335324287415e+01,1.801082558929920197e+01,0.000000000000000000e+00,1.072113815695047379e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.182642970234155655e+01,1.182717785239219666e+01,1.212477692245778726e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.352916896343231201e+01,7.635506875813007355e+00,1.229597702622413635e+01,1.090819141827523708e+00,1.067849360406398773e+01,1.443981833755970001e+01,7.895798683166503906e+00,5.041944216936826706e+00,0.000000000000000000e+00,1.354377947747707367e+01,4.926857575774192810e+00,0.000000000000000000e+00,1.973211783915758133e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.142384640872478485e+01,1.149612888693809509e+01,5.378499906510114670e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.563692707568407059e+00,1.328002296388149261e+01,1.059259649366140366e+01,0.000000000000000000e+00,1.658548437058925629e+01,2.393566649407148361e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.306977171450853348e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.171937983483076096e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.488764382898807526e+01,1.183728814125061035e+01,1.316641447499999895e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.327550292015075684e+01,1.015896745026111603e+01,1.167368747293949127e+01,6.274182386696338654e+00,1.238727822899818420e+01,1.280121825635433197e+01,1.035202838480472565e+01,8.902809359133243561e+00,0.000000000000000000e+00,1.494969852268695831e+01,7.462118677794933319e+00,0.000000000000000000e+00,3.167530000209808350e+00,0.000000000000000000e+00,1.168487150222063065e+01,1.384064003825187683e+01,1.234665304422378540e+01,9.155243113636970520e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.352106511592864990e+00,0.000000000000000000e+00,1.568290255963802338e+01,1.171123299747705460e+01,0.000000000000000000e+00,1.807390518486499786e+01,1.811854787170886993e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.411737352609634399e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.394046887755393982e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.316501736640930176e+01,1.599417969584465027e+01,1.206139121999999952e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.280541554093360901e+01,1.119884505867958069e+01,1.020157661288976669e+01,4.041336346417665482e+00,1.238232925534248352e+01,8.676531836390495300e+00,7.921965532004833221e+00,6.400925517082214355e+00,0.000000000000000000e+00,1.055959153920412064e+01,3.171196430921554565e+00,0.000000000000000000e+00,4.968566764146089554e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323117733001708984e+01,1.277829527854919434e+01,8.676531836390495300e+00,0.000000000000000000e+00,2.591099662822671235e-02,1.391857787966728210e+01,0.000000000000000000e+00,1.461259074509143829e+01,9.853068925440311432e+00,0.000000000000000000e+00,2.012885041534900665e+01,1.107049025595188141e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.708843514323234558e+01,1.766226977109909058e+01,0.000000000000000000e+00,1.045469623059034348e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.152661476284265518e+01,1.156968753784894943e+01,1.209660404499999897e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.297834508121013641e+01,7.342367246747016907e+00,1.179710250347852707e+01,1.020311750471591949e+00,1.023848652839660645e+01,1.386140137910842896e+01,7.573331855237483978e+00,4.819235093891620636e+00,0.000000000000000000e+00,1.300781667232513428e+01,4.699931349605321884e+00,0.000000000000000000e+00,1.861564368009567261e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.095633544027805328e+01,1.102163258939981461e+01,5.147187765687704086e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542496420443058014e+00,1.275467865169048309e+01,1.019303906708955765e+01,0.000000000000000000e+00,1.592859447002410889e+01,2.250222302973270416e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.189664129167795181e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122991628944873810e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.427485868334770203e+01,1.134579319506883621e+01,1.186655363481739167e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.327788539230823517e+01,7.502065785229206085e+00,1.206628859043121338e+01,1.058769193477928638e+00,1.047353234142065048e+01,1.417746610939502716e+01,7.746204063296318054e+00,4.939878713339567184e+00,0.000000000000000000e+00,1.330023363232612610e+01,4.823177568614482880e+00,0.000000000000000000e+00,1.922698384150862694e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121029026806354523e+01,1.127799961715936661e+01,5.274410787969827652e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.556409215554594994e+00,1.304092496633529663e+01,1.041006769984960556e+01,0.000000000000000000e+00,1.628400325775146484e+01,2.327413232997059822e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.253423217684030533e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.149716299027204514e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.460652768611907959e+01,1.161167737096548080e+01,1.263002604611111135e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.370612025260925293e+01,1.188190817832946777e+01,1.092997677624225616e+01,4.431239664554595947e+00,1.325391910970211029e+01,9.325671270489692688e+00,8.501374833285808563e+00,6.886253356933593750e+00,0.000000000000000000e+00,1.120339270681142807e+01,3.469646368175745010e+00,0.000000000000000000e+00,5.411309152841567993e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.416189864277839661e+01,1.366281107068061829e+01,9.283885285258293152e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476863346993923187e+01,0.000000000000000000e+00,1.547209553420543671e+01,1.050981372594833374e+01,0.000000000000000000e+00,2.134247861802577972e+01,1.185156598687171936e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.808480396866798401e+01,1.869363531470298767e+01,0.000000000000000000e+00,1.121821910142898560e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.238441869616508484e+01,1.231589749455451965e+01,1.302519149666666598e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.032904949039220810e+01,4.706455543637275696e+00,8.450165130198001862e+00,9.880420286208391190e-01,9.242831878364086151e+00,7.027018815279006958e+00,7.161668837070465088e+00,6.299217455089092255e+00,0.000000000000000000e+00,9.141210168600082397e+00,3.476948086172342300e+00,0.000000000000000000e+00,8.060517683625221252e+00,6.611296976916491985e-01,0.000000000000000000e+00,9.614582471549510956e+00,8.086659759283065796e+00,5.822044238448143005e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.150668885558843613e+00,0.000000000000000000e+00,9.734978005290031433e+00,8.995124138891696930e+00,0.000000000000000000e+00,1.411065779626369476e+01,1.397709390148520470e+00,9.126921882852911949e-01,1.170737050473690033e+01,1.577393621206283569e+01,5.494695324450731277e+00,0.000000000000000000e+00,9.535604864358901978e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108846709132194519e+01,1.129667505621910095e+01,1.161414007666666803e+00
