rxn_id,exp_reaction,exp_flux,pFBA_flux,abs_difference,relative_difference
ATPS4rpp,R0097_ATPS4rpp,27.660000000000004,52.38116916859756,24.721169168597555,0.8937515968368828
PGK,R0108_PGK,-0.8099999999999999,-17.072376287183832,16.262376287183834,20.077007759476707
ACt4pp,R0101_ACt4pp,6.99,0.0,6.99,0.9999999999856939
NADTRHD,R0099_NADTRHD,6.2,0.0,6.2,0.999999999983871
CYTBO3_4pp,R0097_CYTBO3_4pp,27.660000000000004,31.719681898871137,4.059681898871133,0.14677085679162893
PFK,R0003_PFK,8.34,4.514918145883302,3.825081854116698,0.4586429081619705
FBA,R0004_FBA,8.34,4.514918145883302,3.825081854116698,0.4586429081619705
PYK,R0008_PYK,3.02,0.0,3.02,0.9999999999668874
NH4tex,R0104_NH4tex,5.2299999999999995,7.702836666164714,2.4728366661647145,0.47281771818688967
EX_nh4_e,R0104_EX_nh4_e,-5.2299999999999995,-7.702836666164714,2.4728366661647145,0.47281771818688967
NH4tpp,R0104_NH4tpp,5.2299999999999995,7.702836666164714,2.4728366661647145,0.47281771818688967
EX_o2_e,R0103_EX_o2_e,-14.49,-15.86,1.3699999999999992,0.09454796411252894
O2tpp,R0103_O2tpp,14.49,15.86,1.3699999999999992,0.09454796411252894
O2tex,R0103_O2tex,14.49,15.86,1.3699999999999992,0.09454796411252894
NADH5,R0098_NADH5,1.3199999999999998,0.0,1.3199999999999998,0.9999999999242424
CO2tex,R0102_CO2tex,-16.22,-17.52,1.3000000000000007,0.08014796547422849
EX_co2_e,R0102_EX_co2_e,16.22,17.52,1.3000000000000007,0.08014796547422849
CO2tpp,R0102_CO2tpp,-16.22,-17.52,1.3000000000000007,0.08014796547422849
TKT2,R0064_TKT2,-0.41,0.7997211596244821,1.2097211596244821,2.9505394129986056
GND,R0011_GND,2.45,3.6362587690185024,1.1862587690185022,0.4841872526408504
RBP4E,R0012_RBP4E,1.09,0.0,1.09,0.9999999999082568
G6PDH2r,R0010_G6PDH2r,2.55,3.6362587690185024,1.0862587690185026,0.42598383097094283
GLUDy,R0072_GLUDy,-5.0200000000000005,-6.099077402514024,1.0790774025140237,0.21495565786703746
ACONTa,R0018_ACONTa,1.21,2.180660961067863,0.9706609610678631,0.8021991413121019
ACONTb,R0018_ACONTb,1.21,2.180660961067863,0.9706609610678631,0.8021991413121019
PGI,R0002_PGI,7.3,6.363741230981498,0.9362587690185018,0.12825462589118855
