rxn_id,exp_reaction,exp_flux
SHK3Dr,R0091_SHK3Dr,0.13
G5SD,R0074_G5SD,0.16
CS,R0017_CS,2.13
ICDHyr,R0019_ICDHyr,2.02
PPCK,R0070_PPCK,0.03
ME1,R0025_ME1,0.03
ALATA_L,R0078_ALATA_L,-0.37
ASPTA,R0076_ASPTA,-1.59
PYK,R0008_PYK,3.02
EX_co2_e,R0102_EX_co2_e,16.22
ILETA,R0090_ILETA,-0.21000000000000002
VALTA,R0088_VALTA,-0.3
IPPMIb,R0089_IPPMIb,-0.32
ACHBS,R0090_ACHBS,0.21000000000000002
DHAD2,R0090_DHAD2,0.21000000000000002
ACLS,R0088_ACLS,0.3
TRPS2,R0093_TRPS2,0.04
PSCVT,R0091_PSCVT,0.13
ANS,R0093_ANS,0.04
ANPRT,R0093_ANPRT,0.04
CHORM,R0091_CHORM,0.13
PTAr,R0071_PTAr,6.609999999999999
CHORS,R0091_CHORS,0.13
IGPS,R0093_IGPS,0.04
ACKr,R0071_ACKr,-6.609999999999999
LEUTAi,R0089_LEUTAi,0.32
EX_ac_e,R0101_EX_ac_e,6.99
ENO,R0007_ENO,15.930000000000001
FBA,R0004_FBA,8.34
PGI,R0002_PGI,7.3
PGK,R0108_PGK,-0.8099999999999999
EDA,R0069_EDA,0.1
RPE,R0061_RPE,2.67
DHQTi,R0091_DHQTi,0.13
IPMD,R0089_IPMD,0.32
TALA,R0066_TALA,-0.6799999999999999
TKT1,R0014_TKT1,1.09
EX_glc__D_e,R0001_EX_glc__D_e,-10.0
DHAD1,R0088_DHAD1,0.3
IPPMIa,R0089_IPPMIa,-0.32
EDD,R0068_EDD,0.1
MDH,R0023_MDH,1.64
FUM,R0022_FUM,1.59
THRD,R0090_THRD,0.21000000000000002
KARA1,R0088_KARA1,-0.3
KARA2,R0090_KARA2,0.21000000000000002
RBP4E,R0012_RBP4E,1.09
ARGSS,R0075_ARGSS,0.21000000000000002
ICL,R0026_ICL,0.11000000000000001
PPC,R0024_PPC,2.3600000000000003
SADT2,R0083_SADT2,0.16999999999999998
GHMT2r,R0118_GHMT2r,0.35
TRPS3,R0093_TRPS3,0.04
ASNS2,R0077_ASNS2,0.16999999999999998
DAPE,R0085_DAPE,0.24
DHDPRy,R0084_DHDPRy,0.24
HSK,R0086_HSK,0.61
SDPTA,R0084_SDPTA,-0.24
