rxn_id,reconciled_flux,original_measured_flux
PFK,4.902487701325479e-09,8.309999999999999
PFL,-6.771081892365853e-09,
PGI,-1.6397014563999373,7.3
PGK,-0.7287620141563483,0.62
PGL,2.404898954695953,
ACALD,1.9670658829871115e-08,
AKGt2r,9.882981950936104e-09,
PGM,-0.7287620291026354,15.9
PIt2r,-3.675328061804076e-08,
ALCD2x,9.839825271405335e-09,
ACALDt,9.830833558465798e-09,
ACKr,9.793754750531264e-09,6.590000000000001
PPC,1.5866667759512645,2.63
ACONTa,0.7287621774707226,1.72
ACONTb,0.7287621774707226,1.72
ATPM,8.389999919113464,
PPCK,1.9171912872001051,
ACt2r,9.793754750531282e-09,
PPS,1.3081396088608979,
ADK1,1.3081396088608979,
AKGDH,0.1605273386923036,1.3800000000000001
ATPS4r,10.931392145191024,
PTAr,-9.793754750531245e-09,6.590000000000001
PYK,1.6022286681504327,2.71
BIOMASS_Ecoli_core_w_GAM,-9.990833609435902e-09,
PYRt2,9.835530897606833e-09,
CO2t,-4.591185475822983,
RPE,1.6032659769787136,6.33
CS,0.7287621774707226,2.5
RPI,-0.80163297771724,1.3
SUCCt2_2,5.323276484476625e-09,
CYTBD,9.182370998106627,
D_LACt2,9.846034810214267e-09,
ENO,0.7287620291026354,15.9
SUCCt3,-4.554057671244519e-09,
ETOHt2r,9.839825271405355e-09,
SUCDi,1.7200000021357393,1.72
SUCOAS,-0.16052733869230362,1.3800000000000001
TALA,0.8016329866860114,
THD2,7.812957189253769e-09,
TKT1,0.8016329866860114,1.05
TKT2,0.8016329902927023,
TPI,-0.03643548871258576,8.309999999999999
EX_ac_e,-9.7937547505313e-09,6.959999999999999
EX_acald_e,-9.830833558465818e-09,
EX_akg_e,-9.88298195093614e-09,
EX_co2_e,4.591185475822983,
EX_etoh_e,-9.839825271405375e-09,
EX_for_e,-6.771081892365854e-09,
EX_fru_e,-9.99971200985195e-09,
EX_fum_e,-9.999712370888362e-09,
EX_glc__D_e,-0.7651974962478951,
EX_gln__L_e,-9.999712495570092e-09,
EX_glu__L_e,-9.899272190963092e-09,
EX_h_e,-2.3598342748305745e-07,
EX_h2o_e,4.591185413606473,
EX_lac__D_e,-9.846034810214286e-09,
EX_mal__L_e,-9.999712345288163e-09,
EX_nh4_e,4.437786656187131e-08,5.01
EX_o2_e,-4.591185499053314,
EX_pi_e,3.675328061804076e-08,
EX_pyr_e,-9.835530897606851e-09,
EX_succ_e,-9.877334155721173e-09,
FBA,-0.03643548871258576,8.309999999999999
FBP,0.036435493615073464,
FORt2,1.7959661234097832e-08,
FORt,-1.118857934173198e-08,
FRD7,0.9912377942260296,
FRUpts2,-9.999712040141569e-09,
FUM,0.728762197909998,1.9899999999999998
FUMt2_2,-9.999711720888305e-09,
G6PDH2r,2.404898954695953,2.55
GAPD,0.7287620141563483,17.15
GLCpts,0.7651974962478951,
GLNS,0.49944033500997337,0.49000000000000005
GLNabc,-9.999711631064885e-09,
GLUDy,0.4994403869974658,4.7
GLUN,-7.609625867046046e-09,
GLUSy,0.4994403351745438,
GLUt2r,9.899272190963054e-09,
GND,2.404898954695953,2.3600000000000003
H2Ot,-4.591185413606473,
ICDHyr,0.16052731813065055,2.5
ICL,0.5682348593400721,
LDH_D,9.846034810214245e-09,
MALS,0.5682348593400721,
MALt2_2,-9.999711752797733e-09,
MDH,1.0592866708689408,1.42
ME1,0.23771038475703493,0.26
ME2,-8.375617359054509e-09,
NADH16,8.453608790196917,
NADTRHD,4.9703254089424,10.91
NH4t,-4.437786656187131e-08,
O2t,4.591185499053314,
PDH,1.2969969766738167,11.57
