rxn_id,reconciled_flux,original_measured_flux
ALATA_D2,-9.293721747630508e-09,
SHCHD2,1.0296188254149715e-10,
CPPPGO,6.418697554154276e-09,
GTHOr,-3.3136541878987113e-09,
DHORD5,-1.881127104182637e-09,
GLYCTO2,4.003241171074774e-08,
GLYCTO3,1.911046809863697e-08,
GLYCTO4,6.517407512523391e-09,
PFK_3,2.740077120450206e-08,
TRPS2,0.04000000003790408,0.04
G3PD5,4.960308686176989e-09,
EX_acgam_e,6.978162412108558e-09,
EX_cellb_e,-6.468342742472078e-09,
EX_chol_e,-6.517636117858718e-09,
LEUTAi,0.09424374376511792,0.31
SHK3Dr,0.12695104649139646,0.13
G5SD,0.14917150798668188,0.15
ALATA_L2,-9.293721747630508e-09,
MAN6PI,9.876193416679512e-09,
APRAUR,-1.4949458924614608e-09,
DB4PS,-2.9590761882985787e-09,
RBFK,2.1837721434841252e-08,
ACP1_FMN,2.331382008346879e-08,
RBFSb,-1.4786040977507329e-09,
EX_pi_e,4.925737757243965e-07,
EX_h_e,8.517270558202975,
DMATT,1.3796909001088612e-09,
GRTT,1.3733344435908047e-09,
UPP3S,-7.280486998789268e-10,
UPPDC1,-8.931802850890855e-10,
TMDPP,1.9265577217907446e-07,
EX_ade_e,-9.381038281847519e-09,
EX_4abut_e,-7.705364810557626e-09,
EX_ac_e,9.42299816694362e-08,6.959999999999999
EX_akg_e,1.840625333503616e-08,
EX_ala__L_e,-9.650083276533793e-09,
EX_arg__L_e,-8.989400806431502e-09,
EX_asp__L_e,-9.203425662606839e-09,
EX_cytd_e,-9.450544527219832e-09,
EX_dcyt_e,-9.079832063510992e-09,
EX_fum_e,8.951321486360028e-09,
EX_glu__L_e,-7.47278824075123e-09,
EX_gua_e,-7.417583056695528e-09,
HCO3E,1.514626730614412e-07,
IMPC,-0.05809402746182349,
IMPD,7.181226875866318e-08,
ECOAH4,-6.548991777136718e-08,
GLUTRS,-5.7322755212269945e-09,
TMPPP,-5.04449173826529e-09,
URIK1,1.283610047630393e-08,
URIK2,1.2836100476435746e-08,
CYTDK1,1.9502059656507603e-08,
CYTDK2,1.9502059656720086e-08,
XPPT,-1.0422419747010928e-09,
HXPRT,-1.0150007889116726e-09,
NDPK5,-4.404045866044772e-09,
DHORTS,7.561382247644361e-09,
OMPDC,1.2356488104151043e-09,
CS,2.038913766100526,2.5
ICDHyr,2.0389133349452058,2.5
ACALD,1.438626830351934e-07,
ACS,1.0334286568119843e-08,
PPA,0.7068961394164188,
PPCK,3.4694923936955724e-08,
ME1,0.2562990808653753,0.26
ALAR,-6.068623589041527e-08,
ALATA_L,-0.029477171849885016,0.35
XYLK,-4.634971935034086e-09,
RBK,7.496702581916027e-08,
GLYK,1.6395695667234444,
PPM,-370.5134305552718,
ASPTA,-0.4566384013090721,1.31
FBP,1.0808107590464218e-08,
GLGC,4.9853315700856e-08,
PYK,2.144761772805089,2.71
A5PISO,-2.9638639752995607e-09,
EX_met__L_e,0.08124842596852551,
EX_metsox_S__L_e,4.252162089462437e-09,
