rxn_id,exp_reaction,exp_flux,FBA_flux,abs_difference,relative_difference
ATPS4rpp,R0097_ATPS4rpp,27.660000000000004,48.49995858822054,20.839958588220533,0.7534330653703972
PGK,R0108_PGK,-0.8099999999999999,-17.042609717543236,16.232609717543237,20.040258908073103
PFK,R0003_PFK,8.34,0.0,8.34,0.9999999999880096
FBA,R0004_FBA,8.34,0.0,8.34,0.9999999999880096
ACt4pp,R0101_ACt4pp,6.99,0.0,6.99,0.9999999999856939
NADTRHD,R0099_NADTRHD,6.2,0.0,6.2,0.999999999983871
PYK,R0008_PYK,3.02,0.0,3.02,0.9999999999668874
TALA,R0066_TALA,-0.6799999999999999,-3.5926369113340626,2.9126369113340624,4.2832895748613735
NH4tpp,R0104_NH4tpp,5.23,7.334381267691371,2.1043812676913705,0.4023673551914213
NH4tex,R0104_NH4tex,5.23,7.334381267691371,2.1043812676913705,0.4023673551914213
EX_nh4_e,R0104_EX_nh4_e,-5.23,-7.334381267691371,2.1043812676913705,0.4023673551914213
GND,R0011_GND,2.45,3.9717401371890393,1.521740137189039,0.6211184233171131
G6PDH2r,R0010_G6PDH2r,2.55,3.9717401371890393,1.4217401371890395,0.5575451518169745
TKT2,R0064_TKT2,-0.41,0.931273242465545,1.341273242465545,3.2713981515570856
NADH5,R0098_NADH5,1.3199999999999998,0.0,1.3199999999999998,0.9999999999242424
CYTBO3_4pp,R0097_CYTBO3_4pp,27.660000000000004,28.9796971148342,1.3196971148341952,0.04771139243779551
PGI,R0002_PGI,7.3,6.028259862810961,1.271740137189039,0.1742109776947422
ACt2rpp,R0101_ACt2rpp,-6.99,-8.092445082507995,1.1024450825079946,0.15771746530646963
EX_ac_e,R0101_EX_ac_e,6.99,8.092445082507995,1.1024450825079946,0.15771746530646963
ACtex,R0101_ACtex,-6.99,-8.092445082507995,1.1024450825079946,0.15771746530646963
RBP4E,R0012_RBP4E,1.09,0.0,1.09,0.9999999999082568
ACKr,R0071_ACKr,-6.609999999999999,-7.697073999243712,1.0870739992437128,0.16445900139595568
PTAr,R0071_PTAr,6.609999999999999,7.697073999243712,1.0870739992437128,0.16445900139595568
CS,R0017_CS,2.13,1.0575174500736786,1.0724825499263213,0.5035129342140704
ICDHyr,R0019_ICDHyr,2.02,1.0575174500736786,0.9624825499263214,0.4764765098409276
GLUDy,R0072_GLUDy,-5.0200000000000005,-5.807335789383568,0.787335789383568,0.15683979867886133
SUCDi,R0021_SUCDi,1.3199999999999998,0.5523742632225034,0.7676257367774965,0.5815346490298053
BIOMASS_Ec_iML1515_WT_75p37M,R0106_BIOMASS_Ec_iML1515_WT_75p37M,0.75,0.0,0.75,0.9999999998666667
MDH,R0023_MDH,1.64,1.03551413309635,0.6044858669036499,0.36858894321145796
MTHFD,R0096_MTHFD,0.0699999999999999,0.6711819824603684,0.6011819824603686,8.588314022879116
MTHFC,R0095_MTHFC,0.11,0.6711819824603684,0.5611819824603684,5.101654381365482
FUM,R0022_FUM,1.59,1.03551413309635,0.5544858669036501,0.3487332496030042
GLNS,R0073_GLNS,0.51,1.0638040093319276,0.5538040093319276,1.085890214163409
RPE,R0061_RPE,2.67,2.1210671233172143,0.5489328766827857,0.2055928377012084
AKGDH,R0020_AKGDH,0.85,0.3273387344104878,0.5226612655895122,0.614895606503556
RPI,R0013_RPI,-1.36,-1.823641531496339,0.4636415314963389,0.3409128907810644
PSP_L,R0079_PSP_L,0.73,1.1666066980891965,0.4366066980891965,0.5980913671635444
PGCD,R0079_PGCD,0.73,1.1666066980891965,0.4366066980891965,0.5980913671635444
PSERT,R0079_PSERT,0.73,1.1666066980891965,0.4366066980891965,0.5980913671635444
GHMT2r,R0118_GHMT2r,0.35,0.7575745430867676,0.40757454308676766,1.1644986942009081
ASPTA,R0076_ASPTA,-1.59,-1.9883277013120892,0.39832770131208917,0.25052056684719315
TPI,R0005_TPI,8.34,7.989500052876748,0.35049994712325194,0.04202637255624093
PPC,R0024_PPC,2.3600000000000003,2.010331018289418,0.34966898171058247,0.1481648227524432
ACLS,R0088_ACLS,0.3,0.5937955017134402,0.2937955017134402,0.9793183387183613
DHAD1,R0088_DHAD1,0.3,0.5937955017134402,0.2937955017134402,0.9793183387183613
KARA1,R0088_KARA1,-0.3,-0.5937955017134402,0.2937955017134402,0.9793183387183613
EX_co2_e,R0102_EX_co2_e,16.22,15.940570369517165,0.2794296304828343,0.017227474135703552
CO2tex,R0102_CO2tex,-16.22,-15.940570369517165,0.2794296304828343,0.017227474135703552
CO2tpp,R0102_CO2tpp,-16.22,-15.940570369517165,0.2794296304828343,0.017227474135703552
SUCOAS,R0114_SUCOAS,0.26,0.0,0.26,0.9999999996153845
HSK,R0086_HSK,0.61,0.3695850972880739,0.24041490271192606,0.39412279126641603
THRS,R0086_THRS,0.61,0.3695850972880739,0.24041490271192606,0.39412279126641603
THRD,R0090_THRD,0.21,0.0,0.21,0.9999999995238095
SULabcpp,R0105_SULabcpp,0.1699999999999999,0.0,0.1699999999999999,0.9999999994117647
ACONTa,R0018_ACONTa,1.21,1.0575174500736786,0.15248254992632138,0.12601863629233018
ACONTb,R0018_ACONTb,1.21,1.0575174500736786,0.15248254992632138,0.12601863629233018
HSDy,R0086_HSDy,-0.61,-0.4741083231923192,0.13589167680768077,0.22277324063180892
CHRPL,R0091_CHRPL,0.13,0.0001514425828995,0.1298485574171005,0.9988350562862844
SHK3Dr,R0091_SHK3Dr,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
DDPA,R0091_DDPA,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
PSCVT,R0091_PSCVT,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
DHQTi,R0091_DHQTi,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
CHORS,R0091_CHORS,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
SHKK,R0091_SHKK,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
DHQS,R0091_DHQS,0.13,0.2588235235519232,0.12882352355192317,0.9909501804063703
ASAD,R0086_ASAD,-0.61,-0.7260252500263589,0.11602525002635888,0.19020532788088254
ASPK,R0086_ASPK,0.61,0.7260252500263589,0.11602525002635888,0.19020532788088254
ICL,R0026_ICL,0.11,0.0,0.11,0.9999999990909092
MALS,R0027_MALS,0.11,0.0,0.11,0.9999999990909092
PDH,R0009_PDH,11.2,11.300125309376734,0.10012530937673425,0.008939759765700024
EDA,R0069_EDA,0.1,0.0,0.1,0.999999999
EDD,R0068_EDD,0.1,0.0,0.1,0.999999999
TKT1,R0014_TKT1,1.09,1.1897938808516693,0.09979388085166918,0.09155401912157227
CHORM,R0091_CHORM,0.13,0.2196148351048232,0.08961483510482318,0.6893448848914514
GAPD,R0006_GAPD,17.130000000000003,17.042609717543236,0.0873902824567665,0.005101592671118291
BIOMASS_Ec_iML1515_core_75p37M,R0106_BIOMASS_Ec_iML1515_core_75p37M,0.75,0.6791147215224725,0.07088527847752746,0.09451370462410146
FTHFLi,R0096_FTHFLi,0.0699999999999999,0.0,0.0699999999999999,0.9999999985714286
ENO,R0007_ENO,15.93,15.87600301945404,0.05399698054596058,0.0033896409633158583
PGM,R0007_PGM,-15.93,-15.87600301945404,0.05399698054596058,0.0033896409633158583
TRPS1,R0093_TRPS1,0.04,0.0,0.04,0.9999999975
TRPS2,R0093_TRPS2,0.04,0.0,0.04,0.9999999975
ME1,R0025_ME1,0.03,0.0,0.03,0.9999999966666666
PPCK,R0070_PPCK,0.03,0.0,0.03,0.9999999966666666
ALATA_L,R0078_ALATA_L,-0.37,-0.3951388260295214,0.02513882602952139,0.0679427730343976
