rxn_id,exp_reaction,exp_flux,pFBA_flux,abs_difference,relative_difference
ATPS4rpp,R0097_ATPS4rpp,27.660000000000004,48.391138715162455,20.73113871516245,0.7494988689474874
PGK,R0108_PGK,-0.8099999999999999,-17.081235911157492,16.271235911157493,20.087945566850248
ACt4pp,R0101_ACt4pp,6.99,0.0,6.99,0.9999999999856939
NADTRHD,R0099_NADTRHD,6.2,0.0,6.2,0.999999999983871
FBA,R0004_FBA,8.34,4.565810082316711,3.774189917683289,0.4525407575105558
PFK,R0003_PFK,8.34,4.565810082316711,3.774189917683289,0.4525407575105558
PYK,R0008_PYK,3.02,0.0,3.02,0.9999999999668874
NH4tex,R0104_NH4tex,5.2299999999999995,7.303671291614121,2.0736712916141213,0.3964954668402432
NH4tpp,R0104_NH4tpp,5.2299999999999995,7.303671291614121,2.0736712916141213,0.3964954668402432
EX_nh4_e,R0104_EX_nh4_e,-5.2299999999999995,-7.303671291614121,2.0736712916141213,0.3964954668402432
GND,R0011_GND,2.45,3.876380275565487,1.4263802755654869,0.5821960308192927
G6PDH2r,R0010_G6PDH2r,2.55,3.876380275565487,1.3263802755654872,0.5201491276523421
NADH5,R0098_NADH5,1.3199999999999998,0.0,1.3199999999999998,0.9999999999242424
CYTBO3_4pp,R0097_CYTBO3_4pp,27.660000000000004,28.979698383052455,1.319698383052451,0.047711438288057836
TKT2,R0064_TKT2,-0.41,0.9011306555192624,1.3111306555192623,3.197879646827986
PGI,R0002_PGI,7.3,6.123619724434515,1.176380275565485,0.16114798295196853
RBP4E,R0012_RBP4E,1.09,0.0,1.09,0.9999999999082568
CS,R0017_CS,2.13,1.210548864695976,0.919451135304024,0.43166719965298467
SUCDi,R0021_SUCDi,1.3199999999999998,0.4838136499219931,0.8361863500780067,0.6334745075868631
ICDHyr,R0019_ICDHyr,2.02,1.210548864695976,0.8094511353040241,0.4007183837940358
GLUDy,R0072_GLUDy,-5.0200000000000005,-5.783019744627333,0.7630197446273321,0.15199596506217777
BIOMASS_Ec_iML1515_WT_75p37M,R0106_BIOMASS_Ec_iML1515_WT_75p37M,0.75,0.0,0.75,0.9999999998666667
ACt2rpp,R0101_ACt2rpp,-6.99,-7.725584016218738,0.7355840162187377,0.1052337648366544
ACtex,R0101_ACtex,-6.99,-7.725584016218738,0.7355840162187377,0.1052337648366544
EX_ac_e,R0101_EX_ac_e,6.99,7.725584016218738,0.7355840162187377,0.1052337648366544
ACKr,R0071_ACKr,-6.609999999999999,-7.331868401366241,0.7218684013662413,0.10920853273151597
PTAr,R0071_PTAr,6.609999999999999,7.331868401366241,0.7218684013662413,0.10920853273151597
TALA,R0066_TALA,-0.6799999999999999,0.0,0.6799999999999999,0.9999999998529412
RPE,R0061_RPE,2.67,2.0596994910235207,0.6103005089764793,0.22857696964555116
MTHFD,R0096_MTHFD,0.06999999999999999,0.6683716591525488,0.5983716591525489,8.548166547110462
MTHFC,R0095_MTHFC,0.11000000000000001,0.6683716591525488,0.5583716591525488,5.076105987681256
GLNS,R0073_GLNS,0.51,1.0593497282569118,0.5493497282569118,1.077156329704306
MDH,R0023_MDH,1.64,1.188637678371947,0.4513623216280529,0.27522092780520174
PSERT,R0079_PSERT,0.73,1.161721969237181,0.431721969237181,0.5913999577781384
PGCD,R0079_PGCD,0.73,1.161721969237181,0.431721969237181,0.5913999577781384
PSP_L,R0079_PSP_L,0.73,1.161721969237181,0.431721969237181,0.5913999577781384
RPI,R0013_RPI,-1.3599999999999999,-1.7897624863802302,0.4297624863802303,0.31600182819752215
GHMT2r,R0118_GHMT2r,0.35,0.7544024832706879,0.40440248327068795,1.1554356661575553
FUM,R0022_FUM,1.59,1.188637678371947,0.4013623216280531,0.2524291330835284
ASPTA,R0076_ASPTA,-1.59,-1.9800023233541564,0.3900023233541563,0.24528448008152692
AKGDH,R0020_AKGDH,0.85,0.4834274990765918,0.36657250092340815,0.4312617657415082
PPC,R0024_PPC,2.3600000000000003,2.001913509678185,0.3580864903218153,0.1517315636892551
TPI,R0005_TPI,8.34,8.024161497661531,0.3158385023384689,0.03787032402094507
ACLS,R0088_ACLS,0.3,0.591309205325675,0.291309205325675,0.9710306840952397
DHAD1,R0088_DHAD1,0.3,0.591309205325675,0.291309205325675,0.9710306840952397
KARA1,R0088_KARA1,-0.3,-0.591309205325675,0.291309205325675,0.9710306840952397
HSK,R0086_HSK,0.61,0.36803759804008807,0.24196240195991192,0.39665967527909174
THRS,R0086_THRS,0.61,0.36803759804008807,0.24196240195991192,0.39665967527909174
THRD,R0090_THRD,0.21000000000000002,0.0,0.21000000000000002,0.9999999995238095
SULabcpp,R0105_SULabcpp,0.16999999999999998,0.0,0.16999999999999998,0.9999999994117647
PDH,R0009_PDH,11.2,11.36279600686418,0.1627960068641805,0.014535357755600622
HSDy,R0086_HSDy,-0.61,-0.472123172062072,0.137876827937928,0.2260275867464348
SUCOAS,R0114_SUCOAS,-0.26,-0.12841353147562357,0.13158646852437644,0.5061018018221779
CHRPL,R0091_CHRPL,0.13,0.0001508084737731703,0.12984919152622684,0.998839934048791
SHKK,R0091_SHKK,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
DDPA,R0091_DDPA,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
PSCVT,R0091_PSCVT,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
SHK3Dr,R0091_SHK3Dr,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
DHQS,R0091_DHQS,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
DHQTi,R0091_DHQTi,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
CHORS,R0091_CHORS,0.13,0.2577397969325421,0.12773979693254212,0.9826138218021594
ASAD,R0086_ASAD,-0.61,-0.7229852910651381,0.1129852910651381,0.1852217886010097
ASPK,R0086_ASPK,0.61,0.7229852910651381,0.1129852910651381,0.1852217886010097
ICL,R0026_ICL,0.11000000000000001,0.0,0.11000000000000001,0.9999999990909092
MALS,R0027_MALS,0.11000000000000001,0.0,0.11000000000000001,0.9999999990909092
EDD,R0068_EDD,0.1,0.0,0.1,0.999999999
EDA,R0069_EDA,0.1,0.0,0.1,0.999999999
CHORM,R0091_CHORM,0.13,0.21869528019131346,0.08869528019131345,0.6822713855622023
BIOMASS_Ec_iML1515_core_75p37M,R0106_BIOMASS_Ec_iML1515_core_75p37M,0.75,0.6762711828393286,0.07372881716067137,0.09830508953445448
FTHFLi,R0096_FTHFLi,0.06999999999999999,0.0,0.06999999999999999,0.9999999985714286
TKT1,R0014_TKT1,1.09,1.1585688355042583,0.06856883550425819,0.06290718853024538
GAPD,R0006_GAPD,17.130000000000003,17.081235911157492,0.04876408884251049,0.0028467068792893064
TRPS1,R0093_TRPS1,0.04,0.0,0.04,0.9999999975
TRPS2,R0093_TRPS2,0.04,0.0,0.04,0.9999999975
ME1,R0025_ME1,0.03,0.0,0.03,0.9999999966666666
PPCK,R0070_PPCK,0.03,0.0,0.03,0.9999999966666666
ALATA_L,R0078_ALATA_L,-0.37,-0.3934843301079663,0.0234843301079663,0.0634711624368086
IPPMIb,R0089_IPPMIb,-0.32,-0.3046811322757856,0.015318867724214424,0.047871461623210244
LEUTAi,R0089_LEUTAi,0.32,0.3046811322757856,0.015318867724214424,0.047871461623210244
IPPMIa,R0089_IPPMIa,-0.32,-0.3046811322757856,0.015318867724214424,0.047871461623210244
IPMD,R0089_IPMD,0.32,0.3046811322757856,0.015318867724214424,0.047871461623210244
IPPS,R0089_IPPS,0.32,0.3046811322757856,0.015318867724214424,0.047871461623210244
OMCDC,R0089_OMCDC,0.32,0.3046811322757856,0.015318867724214424,0.047871461623210244
VALTA,R0088_VALTA,-0.3,-0.28617226627265596,0.013827733727344027,0.04609244574244928
ACHBS,R0090_ACHBS,0.21000000000000002,0.1964763904791273,0.013523609520872726,0.06439814054491862
ILETA,R0090_ILETA,-0.21000000000000002,-0.1964763904791273,0.013523609520872726,0.06439814054491862
DHAD2,R0090_DHAD2,0.21000000000000002,0.1964763904791273,0.013523609520872726,0.06439814054491862
KARA2,R0090_KARA2,0.21000000000000002,0.1964763904791273,0.013523609520872726,0.06439814054491862
THDPS,R0084_THDPS,0.24,0.2508621190030661,0.010862119003066106,0.04525882916058426
DHDPS,R0084_DHDPS,0.24,0.2508621190030661,0.010862119003066106,0.04525882916058426
SDPTA,R0084_SDPTA,-0.24,-0.2508621190030661,0.010862119003066106,0.04525882916058426
DHDPRy,R0084_DHDPRy,0.24,0.2508621190030661,0.010862119003066106,0.04525882916058426
DAPE,R0085_DAPE,0.24,0.2508621190030661,0.010862119003066106,0.04525882916058426
P5CR,R0074_P5CR,0.16,0.1494931263225478,0.010506873677452205,0.0656679604430338
G5SD,R0074_G5SD,0.16,0.1494931263225478,0.010506873677452205,0.0656679604430338
GLU5K,R0074_GLU5K,0.16,0.1494931263225478,0.010506873677452205,0.0656679604430338
G5SADs,R0074_G5SADs,0.16,0.1494931263225478,0.010506873677452205,0.0656679604430338
PGM,R0007_PGM,-15.930000000000001,-15.91951394192031,0.010486058079690608,0.0006582585109620076
