,Strain,MediumID,Medium,Stress,GLCptspp,PGI,PFK,FBA,TPI,GAPD,PYK,PDH,G6PDH2r,GND,RBP4E,RPI,TKT1,TALA,TKT2,CS,ICDHyr,SUCDi,FUM,MDH,PPC,ME1,ICL,MALS,ACACCT,EX_succ_e
0,BW25113,MD066,synthetic+Glu,none,100,63.0,79.0,79.0,79.0,165.0,25.0,101.0,36.0,36.0,18.0,18.0,11.0,11.0,7.0,70.0,70.0,60.0,60.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0
1,BW25113,MD066,synthetic+Glu,none,100,62.0,80.0,80.0,80.0,167.0,53.0,136.0,36.0,36.0,19.0,18.0,11.0,11.0,8.0,82.0,56.0,74.0,74.0,96.0,0.0,4.0,26.0,26.0,0.0,0.0
2,W3110,MD121,M9+Glu,none,100,73.0,83.1,83.1,83.1,171.5,27.1,115.7,25.5,23.6,10.5,13.0,10.5,0.0,0.0,25.0,25.0,17.2,19.9,14.2,26.3,2.6,0.0,0.0,0.0,0.0
3,BW25113,MD066,synthetic+Glu,none,100,78.0,79.0,79.0,79.0,171.0,48.0,147.0,21.0,8.0,2.0,6.0,2.0,2.0,0.0,129.0,129.0,123.0,123.0,123.0,14.0,0.0,0.0,0.0,0.0,0.0
4,BW25113,MD066,synthetic+Glu,none,100,63.0,80.0,80.0,80.0,168.0,54.0,144.0,36.0,36.0,19.0,17.0,11.0,11.0,8.0,85.0,54.0,77.0,77.0,98.0,0.0,10.0,31.0,31.0,0.0,0.0
5,BW25113,MD066,synthetic+Glu,none,100,80.0,86.0,86.0,86.0,173.0,46.0,125.0,18.0,18.0,7.0,12.0,5.0,5.0,2.0,86.0,76.0,78.0,78.0,87.0,13.0,0.0,10.0,10.0,0.0,0.0
6,BW25113,MD066,synthetic+Glu,none,100,87.0,89.0,89.0,89.0,177.0,51.0,132.0,12.0,12.0,3.0,9.0,3.0,3.0,0.0,98.0,91.0,91.0,91.0,98.0,13.0,0.0,7.0,7.0,0.0,0.0
7,BW25113,MD066,synthetic+Glu,none,100,76.8,77.2,77.2,77.2,173.6,60.8,10.1,22.8,3.1,0.6,2.5,0.7,0.7,-0.1,6.9,2.3,-3.0,-3.0,1.6,9.0,0.0,4.6,4.6,86.2,7.6
8,BW25113,MD066,synthetic+Glu,none,100,68.0,82.0,82.0,82.0,170.0,35.0,114.0,31.0,31.0,15.0,16.0,9.0,9.0,6.0,87.0,87.0,79.0,79.0,79.0,21.0,0.0,0.0,0.0,0.0,0.0
9,BW25113,MD066,synthetic+Glu,none,100,49.2,76.7,76.7,76.7,171.9,59.0,16.2,50.3,44.6,27.7,16.8,14.4,14.4,13.3,11.3,11.3,8.3,8.3,8.3,7.9,0.0,0.0,0.0,135.4,0.0
10,BW25113,MD066,synthetic+Glu,none,100,99.0,93.0,93.0,93.0,181.0,68.0,156.0,0.0,0.0,-5.0,5.0,-1.0,-1.0,-4.0,103.0,76.0,95.0,95.0,115.0,0.0,7.0,27.0,27.0,0.0,0.0
11,BW25113,MD066,synthetic+Glu,none,100,85.0,87.0,87.0,87.0,174.0,39.0,117.0,13.0,13.0,3.0,10.0,3.0,3.0,0.0,86.0,83.0,77.0,77.0,79.0,20.0,0.0,2.0,2.0,0.0,0.0
12,BW25113,MD066,synthetic+Glu,none,100,88.0,90.0,90.0,90.0,178.0,55.0,137.0,11.0,11.0,3.0,9.0,3.0,3.0,0.0,104.0,96.0,97.0,97.0,105.0,11.0,0.0,8.0,8.0,0.0,0.0
