gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
CYTDK2,cytd_c + gtp_c --> cmp_c + gdp_c + h_c,CYTDK2,Cytidine kinase (GTP)
XPPT,prpp_c + xan_c --> ppi_c + xmp_c,XPPT,Xanthine phosphoribosyltransferase
HXPRT,hxan_c + prpp_c --> imp_c + ppi_c,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine)
NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c,NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP)
SHK3Dr,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,SHK3Dr,Shikimate dehydrogenase
NDPK6,atp_c + dudp_c <=> adp_c + dutp_c,NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP)
NDPK8,atp_c + dadp_c <=> adp_c + datp_c,NDPK8,Nucleoside-diphosphate kinase (ATP:dADP)
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c,DHORTS,Dihydroorotase
OMPDC,h_c + orot5p_c --> co2_c + ump_c,OMPDC,Orotidine-5'-phosphate decarboxylase
PYNP2r,pi_c + uri_c <=> r1p_c + ura_c,PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil)
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,G5SD,Glutamate-5-semialdehyde dehydrogenase
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CS,Citrate synthase
ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,ICDHyr,Isocitrate dehydrogenase (NADP)
ALATA_L2,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,ALATA_L2,Alanine transaminase
DURIPP,duri_c + pi_c <=> 2dr1p_c + ura_c,DURIPP,Deoxyuridine phosphorylase
ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,ACALD,Acetaldehyde dehydrogenase (acetylating)
PTRCTA,akg_c + ptrc_c --> 4abutn_c + glu__L_c,PTRCTA,Putrescine Transaminase
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,ACS,Acetyl-CoA synthetase
CYSDS,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,CYSDS,Cysteine Desulfhydrase
MAN6PI,man6p_c <=> f6p_c,MAN6PI,Mannose-6-phosphate isomerase
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,PPA,Inorganic diphosphatase
APRAUR,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase
TRPAS2,h2o_c + trp__L_c <=> indole_c + nh4_c + pyr_c,TRPAS2,Tryptophanase (L-tryptophan)
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,PPCK,Phosphoenolpyruvate carboxykinase
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,ME1,Malic enzyme (NAD)
DB4PS,ru5p__D_c --> db4p_c + for_c + h_c,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase"
ALAR,ala__L_c <=> ala__D_c,ALAR,Alanine racemase
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,RBFK,Riboflavin kinase
ALATA_L,akg_c + ala__L_c <=> glu__L_c + pyr_c,ALATA_L,L-alanine transaminase
