model_gene_id,uniprot_id,ec_number,sequence
b1012,b1012,,
b1680,b1680,,
b2388,b2388,,
b3781,b3781,,
b3212,b3212,,
b2254,b2254,,
b0523,b0523,,
b1103,b1103,,
b1263,b1263,,
b3790,b3790,,
b3876,b3876,,
b0417,b0417,,
b4260,b4260,,
b2715,b2715,,
b4087,b4087,,
b1611,b1611,,
b3426,b3426,,
b2935,b2935,,
b1514,b1514,,
b2243,b2243,,
b0750,b0750,,
b2134,b2134,,
b0002,b0002,,
b1737,b1737,,
b2458,b2458,,
b2803,b2803,,
b4477,b4477,,
b1453,b1453,,
b2039,b2039,,
b0894,b0894,,
b2316,b2316,,
b1654,b1654,,
b2486,b2486,,
b3909,b3909,,
b3747,b3747,,
b0577,b0577,,
b3607,b3607,,
b3725,b3725,,
b4471,b4471,,
b1850,b1850,,
b3730,b3730,,
b3161,b3161,,
b0070,b0070,,
b2789,b2789,,
b1521,b1521,,
b1535,b1535,,
b3996,b3996,,
b4054,b4054,,
b4098,b4098,,
b2751,b2751,,
b2579,b2579,,
b3610,b3610,,
b4036,b4036,,
b4227,b4227,,
b2222,b2222,,
b2720,b2720,,
b3735,b3735,,
b1236,b1236,,
b2918,b2918,,
b1136,b1136,,
b3062,b3062,,
b1262,b1262,,
b0724,b0724,,
b3003,b3003,,
b0333,b0333,,
b3057,b3057,,
b1389,b1389,,
b2521,b2521,,
b2092,b2092,,
b4407,b4407,,
b1872,b1872,,
b2746,b2746,,
b3172,b3172,,
b0341,b0341,,
b2373,b2373,,
b3041,b3041,,
b4138,b4138,,
b0758,b0758,,
b2676,b2676,,
b4390,b4390,,
b3994,b3994,,
b1302,b1302,,
b1677,b1677,,
b3208,b3208,,
b0415,b0415,,
b1524,b1524,,
b0126,b0126,,
b0469,b0469,,
b4287,b4287,,
b3460,b3460,,
b0046,b0046,,
b4120,b4120,,
b4160,b4160,,
b1124,b1124,,
b4337,b4337,,
b0336,b0336,,
b0856,b0856,,
b0860,b0860,,
b0477,b0477,,
b0624,b0624,,
