condition_id,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_asp__L_e,EX_glu__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e,EX_cys__L_e,EX_cl_e,EX_nh4_e,EX_so4_e,EX_pi_e,EX_k_e,EX_na1_e,EX_mg2_e,EX_ca2_e,EX_fe2_e,EX_zn2_e,EX_cu2_e,EX_mobd_e,EX_cit_e,EX_tsul_e,EX_o2_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_fe3_e,EX_mn2_e,EX_ni2_e,EX_sel_e,EX_cobalt2_e,EX_tungs_e,EX_slnt_e
cond1,0,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,11.24160215,6.427442022,10.21484725,0.785556757,8.818070926,12.05987304,6.530555077,4.108520858,0,11.34484403,3.977799155,0,1.502296096,0,0,9.480180889,9.512679763,4.421801437,0,0,0,1.496855374,11.12535719,8.931517228,0,13.86426091,1.780928727,0,0,2.828802234,0,0,9.691501074,0,0,12.31808461,9.79532972
cond2,1.351957008,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,12.65425101,10.59820868,10.64939007,5.192271769,10.57687614,8.688871004,7.877991721,5.322857574,0,13.89215693,4.155714829,0,3.490073271,0,7.87893381,11.9970341,11.59286391,7.31252972,0,0,8.725480102,0,12.16263644,10.82659546,0,16.30925067,13.86206672,0,0,18.04746866,19.93464708,0,11.66809227,4.017932415,0,11.20144129,12.83463374
cond3,1.212477692,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.12091827,11.43215533,10.45598373,4.181715697,12.68682279,8.904769272,8.126369044,6.572440155,0,10.77911165,3.280081991,0,5.127208903,0,0,13.55529405,13.08734708,8.888792694,0,0.00827919,14.20575142,0,14.90364589,10.08281752,0,20.53906739,11.34157822,0,0,17.42362335,18.01082559,0,10.72113816,0,0,11.8264297,11.82717785
cond4,1.316641448,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.52916896,7.635506876,12.29597703,1.090819142,10.6784936,14.43981834,7.895798683,5.041944217,0,13.54377948,4.926857576,0,1.973211784,0,0,11.42384641,11.49612889,5.378499907,0,0,0,1.563692708,13.28002296,10.59259649,0,16.58548437,2.393566649,0,0,3.306977171,0,0,11.71937983,0,0,14.88764383,11.83728814
cond5,1.206139122,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.27550292,10.15896745,11.67368747,6.274182387,12.38727823,12.80121826,10.35202838,8.902809359,0,14.94969852,7.462118678,0,3.16753,0,11.6848715,13.84064004,12.34665304,9.155243114,0,0,8.352106512,0,15.68290256,11.711233,0,18.07390518,18.11854787,0,0,24.11737353,0,0,13.94046888,0,0,13.16501737,15.9941797
cond6,1.209660405,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,12.80541554,11.19884506,10.20157661,4.041336346,12.38232926,8.676531836,7.921965532,6.400925517,0,10.55959154,3.171196431,0,4.968566764,0,0,13.23117733,12.77829528,8.676531836,0,0.025910997,13.91857788,0,14.61259075,9.853068925,0,20.12885042,11.07049026,0,0,17.08843514,17.66226977,0,10.45469623,0,0,11.52661476,11.56968754
cond7,1.186655363,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,12.97834508,7.342367247,11.7971025,1.02031175,10.23848653,13.86140138,7.573331855,4.819235094,0,13.00781667,4.69993135,0,1.861564368,0,0,10.95633544,11.02163259,5.147187766,0,0,0,1.54249642,12.75467865,10.19303907,0,15.92859447,2.250222303,0,0,3.189664129,0,0,11.22991629,0,0,14.27485868,11.3457932
cond8,1.263002605,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.27788539,7.502065785,12.06628859,1.058769193,10.47353234,14.17746611,7.746204063,4.939878713,0,13.30023363,4.823177569,0,1.922698384,0,0,11.21029027,11.27799962,5.274410788,0,0,0,1.556409216,13.04092497,10.4100677,0,16.28400326,2.327413233,0,0,3.253423218,0,0,11.49716299,0,0,14.60652769,11.61167737
cond9,1.30251915,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.70612025,11.88190818,10.92997678,4.431239665,13.25391911,9.32567127,8.501374833,6.886253357,0,11.20339271,3.469646368,0,5.411309153,0,0,14.16189864,13.66281107,9.283885285,0,0,14.76863347,0,15.47209553,10.50981373,0,21.34247862,11.85156599,0,0,18.08480397,18.69363531,0,11.2182191,0,0,12.3844187,12.31589749
cond10,1.161414008,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,10.32904949,4.706455544,8.45016513,0.988042029,9.242831878,7.027018815,7.161668837,6.299217455,0,9.141210169,3.476948086,0,8.060517684,0.661129698,0,9.614582472,8.086659759,5.822044238,0,0,4.150668886,0,9.734978005,8.995124139,0,14.1106578,1.39770939,0.912692188,11.7073705,15.77393621,5.494695324,0,9.535604864,0,0,11.08846709,11.29667506
