rxn,flux
EX_pi_e_i,1000
EX_co2_e_i,1000
EX_met__L_e_i,1.00E-300
EX_metsox_S__L_e_i,1.00E-300
EX_acgam_e_i,1.00E-300
EX_cellb_e_i,1.00E-300
EX_crn_e_i,1.00E-300
EX_hxan_e_i,1.00E-300
EX_ile__L_e_i,1.00E-300
EX_chol_e_i,1.00E-300
EX_fe3_e_i,1000
EX_lac__L_e_i,1.00E-300
EX_leu__L_e_i,1.00E-300
EX_glcn_e_i,1.00E-300
EX_no3_e_i,1.00E-300
EX_h_e_i,1000
EX_orn_e_i,1.00E-300
EX_gln__L_e_i,1.00E-300
EX_pro__L_e_i,1.00E-300
EX_glyc_e_i,1.00E-300
EX_man_e_i,1.00E-300
EX_ade_e_i,1.00E-300
EX_mn2_e_i,1000
EX_4abut_e_i,1.00E-300
EX_ac_e_i,1.00E-300
EX_akg_e_i,1.00E-300
EX_ala__L_e_i,1.00E-300
EX_arg__L_e_i,1.00E-300
EX_asp__L_e_i,1.00E-300
EX_pyr_e_i,1.00E-300
EX_succ_e_i,1.00E-300
EX_thymd_e_i,1.00E-300
EX_rib__D_e_i,1.00E-300
EX_tyr__L_e_i,1.00E-300
EX_cytd_e_i,1.00E-300
EX_dcyt_e_i,1.00E-300
EX_fum_e_i,1.00E-300
EX_sbt__D_e_i,1.00E-300
EX_glu__L_e_i,1.00E-300
EX_gua_e_i,1.00E-300
EX_btn_e_i,1.00E-300
EX_ptrc_e_i,1.00E-300
EX_spmd_e_i,1.00E-300
EX_thym_e_i,1.00E-300
EX_xtsn_e_i,1.00E-300
EX_fe2_e_i,1000
EX_glc__D_e_i,10
EX_alltn_e_i,1.00E-300
EX_ura_e_i,1.00E-300
EX_val__L_e_i,1.00E-300
EX_xan_e_i,1.00E-300
EX_dgsn_e_i,1.00E-300
EX_arab__L_e_i,1.00E-300
EX_fru_e_i,1.00E-300
EX_gal_e_i,1.00E-300
EX_xyl__D_e_i,1.00E-300
EX_duri_e_i,1.00E-300
EX_for_e_i,1.00E-300
EX_gly_e_i,1.00E-300
EX_h2_e_i,1.00E-300
EX_lys__L_e_i,1.00E-300
EX_ser__L_e_i,1.00E-300
EX_thm_e_i,1.00E-300
EX_trp__L_e_i,1.00E-300
EX_din_e_i,1.00E-300
EX_fmn_e_i,1.00E-300
EX_gthox_e_i,1.00E-300
EX_tmao_e_i,1.00E-300
EX_acald_e_i,1.00E-300
EX_melib_e_i,1.00E-300
EX_sucr_e_i,1.00E-300
EX_tre_e_i,1.00E-300
EX_zn2_e_i,1000
EX_hdcea_e_i,1.00E-300
EX_lac__D_e_i,1.00E-300
EX_ttdcea_e_i,1.00E-300
EX_h2s_e_i,1.00E-300
EX_gthrd_e_i,1.00E-300
EX_26dap__M_e_i,1.00E-300
EX_acnam_e_i,1.00E-300
EX_amp_e_i,1.00E-300
EX_dha_e_i,1.00E-300
EX_fuc__L_e_i,1.00E-300
EX_met__D_e_i,1.00E-300
EX_tartr__L_e_i,1.00E-300
EX_taur_e_i,1.00E-300
EX_maltpt_e_i,1.00E-300
EX_glyald_e_i,1.00E-300
EX_glcur_e_i,1.00E-300
EX_nmn_e_i,1.00E-300
EX_urea_e_i,1.00E-300
EX_f6p_e_i,1.00E-300
EX_rmn_e_i,1.00E-300
EX_ttdca_e_i,1.00E-300
EX_glyclt_e_i,1.00E-300
EX_g6p_e_i,1.00E-300
EX_2ddglcn_e_i,1.00E-300
EX_mmet_e_i,1.00E-300
EX_galct__D_e_i,1.00E-300
EX_idon__L_e_i,1.00E-300
EX_indole_e_i,1.00E-300
EX_3hcinnm_e_i,1.00E-300
EX_acac_e_i,1.00E-300
EX_acmana_e_i,1.00E-300
EX_galur_e_i,1.00E-300
EX_adn_e_i,1.00E-300
EX_ins_e_i,1.00E-300
EX_mg2_e_i,1000
EX_glyc3p_e_i,1.00E-300
EX_but_e_i,1.00E-300
EX_lcts_e_i,1.00E-300
EX_ocdca_e_i,1.00E-300
EX_cbl1_e_i,1.00E-300
EX_nac_e_i,1.00E-300
EX_dad_2_e_i,1.00E-300
EX_ser__D_e_i,1.00E-300
EX_gam6p_e_i,1.00E-300
EX_15dap_e_i,1.00E-300
EX_ocdcea_e_i,1.00E-300
EX_cynt_e_i,1.00E-300
EX_galctn__D_e_i,1.00E-300
EX_glyb_e_i,1.00E-300
EX_ca2_e_i,1000
EX_so3_e_i,1.00E-300
EX_ascb__L_e_i,1.00E-300
EX_ala_B_e_i,1.00E-300
EX_agm_e_i,1.00E-300
EX_minohp_e_i,1.00E-300
EX_ppt_e_i,1.00E-300
EX_hxa_e_i,1.00E-300
EX_lyx__L_e_i,1.00E-300
EX_acmum_e_i,1.00E-300
EX_dca_e_i,1.00E-300
EX_all__D_e_i,1.00E-300
EX_octa_e_i,1.00E-300
EX_gbbtn_e_i,1.00E-300
EX_xylu__L_e_i,1.00E-300
EX_gdp_e_i,1.00E-300
EX_gtp_e_i,1.00E-300
EX_tma_e_i,1.00E-300
EX_fruur_e_i,1.00E-300
EX_malttr_e_i,1.00E-300
EX_cbi_e_i,1.00E-300
EX_arbtn_fe3_e_i,1.00E-300
EX_cpgn_e_i,1.00E-300
EX_ch4_e_i,1.00E-300
EX_adocbl_e_i,1.00E-300
