AIDA_compound,gem_rxn,stoichiometry,match_type
Glucose (mM),EX_glc__D_e,1.0,single_match
Alanine (mM),EX_ala__L_e,1.0,single_match
Arginine/HCl (mM),EX_arg__L_e,1.0,single_match
Asparagine/H2O (mM),EX_asn__L_e,1.0,single_match
AsparticAcid (mM),EX_asp__L_e,1.0,single_match
GlutamicAcid/HCl (mM),EX_glu__L_e,1.0,single_match
Glutamine (mM),EX_gln__L_e,1.0,single_match
Glycine (mM),EX_gly_e,1.0,single_match
Histidine/HCl/H2O (mM),EX_his__L_e,1.0,single_match
Isoleucine (mM),EX_ile__L_e,1.0,single_match
Leucine (mM),EX_leu__L_e,1.0,single_match
Lysine/HCl (mM),EX_lys__L_e,1.0,single_match
Methionine (mM),EX_met__L_e,1.0,single_match
Phenylalanine (mM),EX_phe__L_e,1.0,single_match
Proline (mM),EX_pro__L_e,1.0,single_match
Serine (mM),EX_ser__L_e,1.0,single_match
Threonine (mM),EX_thr__L_e,1.0,single_match
Tryptophan (mM),EX_trp__L_e,1.0,single_match
Tyrosine (mM),EX_tyr__L_e,1.0,single_match
Valine (mM),EX_val__L_e,1.0,single_match
Thiamine/HCl (mM),EX_thm_e,1.0,single_match
Pyridoxine (mM),EX_pydxn_e,1.0,single_match
Cystine/HCl/H2O (mM),EX_cys__L_e,2.0,ambiguous
Cystine/HCl/H2O (mM),EX_cl_e,2.0,ambiguous
(NH4)2SO4 (mM),EX_nh4_e,2.0,ambiguous
(NH4)2SO4 (mM),EX_so4_e,1.0,ambiguous
NH4Cl (mM),EX_nh4_e,1.0,ambiguous
NH4Cl (mM),EX_cl_e,1.0,ambiguous
K2HPO4 (mM),EX_pi_e,1.0,ambiguous
K2HPO4 (mM),EX_k_e,2.0,ambiguous
KH2PO4 (mM),EX_pi_e,1.0,ambiguous
KH2PO4 (mM),EX_k_e,1.0,ambiguous
Na2HPO4 (mM),EX_pi_e,1.0,ambiguous
Na2HPO4 (mM),EX_na1_e,2.0,ambiguous
MgCl2/6H2O (mM),EX_mg2_e,1.0,ambiguous
MgCl2/6H2O (mM),EX_cl_e,2.0,ambiguous
MgSO4/7H2O (mM),EX_mg2_e,1.0,ambiguous
MgSO4/7H2O (mM),EX_so4_e,1.0,ambiguous
CaCl2/2H2O (mM),EX_ca2_e,1.0,ambiguous
CaCl2/2H2O (mM),EX_cl_e,2.0,ambiguous
CaSO4/2H2O (mM),EX_ca2_e,1.0,ambiguous
CaSO4/2H2O (mM),EX_so4_e,1.0,ambiguous
FeSO4/7H2O (mM),EX_fe2_e,1.0,ambiguous
FeSO4/7H2O (mM),EX_so4_e,1.0,ambiguous
ZuSO4/7H2O (mM),EX_zn2_e,1.0,ambiguous
ZuSO4/7H2O (mM),EX_so4_e,1.0,ambiguous
CuSO4/5H2O (mM),EX_cu2_e,1.0,ambiguous
CuSO4/5H2O (mM),EX_so4_e,1.0,ambiguous
Na2MoO4/2H2O (mM),EX_mobd_e,1.0,ambiguous
Na2MoO4/2H2O (mM),EX_na1_e,2.0,ambiguous
KCl (mM),EX_k_e,1.0,ambiguous
KCl (mM),EX_cl_e,1.0,ambiguous
NaCl (mM),EX_na1_e,1.0,ambiguous
NaCl (mM),EX_cl_e,1.0,ambiguous
Na3C6H5O7/2H2O (mM),EX_cit_e,1.0,ambiguous
Na3C6H5O7/2H2O (mM),EX_na1_e,3.0,ambiguous
Na2S2O3/5H2O (mM),EX_tsul_e,1.0,ambiguous
Na2S2O3/5H2O (mM),EX_na1_e,2.0,ambiguous
