Condition ID,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e
Cond00001,0.0,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00014,0.9368706778333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00015,1.2685710896666667,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00016,1.05723603525,20.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00017,0.94498256025,200.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00026,1.23475185975,2.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00027,1.2864817673636362,2.0,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00028,1.227574259,2.0,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00029,1.20015330525,2.0,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00030,1.1570889705833334,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00031,1.1367827818181817,2.0,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00032,1.1522419429166668,2.0,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00033,1.1473662045,2.0,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00034,1.0722597715,2.0,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00035,1.205391152090909,2.0,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00036,1.1286889095833332,2.0,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00037,1.1191333696666668,2.0,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00050,1.181325260818182,2.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00051,1.2545140681666667,2.0,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00052,1.1287749376363636,2.0,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00053,1.187361991818182,2.0,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
Cond00054,1.1680990017500001,2.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002
