condition_id,avg_growth,EX_ac_e,EX_ca2_e,EX_cl_e,EX_cobalt2_e,EX_cu2_e,EX_fe2_e,EX_fe3_e,EX_fru_e,EX_fum_e,EX_gal_e,EX_gam_e,EX_glc__D_e,EX_glyc_e,EX_h2o_e,EX_h_e,EX_k_e,EX_man__D_e,EX_mg2_e,EX_mn2_e,EX_mobd_e,EX_na1_e,EX_nh4_e,EX_ni2_e,EX_o2_e,EX_pi_e,EX_pyr_e,EX_so4_e,EX_succ_e,EX_xyl__D_e,EX_zn2_e
glc_chem_mu_011_v,0.11,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_012_s,0.12,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_020_s,0.2,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_021_p,0.21,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_021_v,0.21,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_022_p,0.22,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_026_p,0.26,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
gal_batch_mu_026_s,0.26,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,1000.0,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
ace_batch_mu_03_s,0.3,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_031_p,0.31,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_031_v,0.31,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_035_s,0.35,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_036_p,0.36,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_040_v,0.4,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
pyr_batch_mu_040_s,0.4,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,1000.0
glc_chem_mu_041_p,0.41,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
fum_batch_mu_042_s,0.42,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
succ_batch_mu_044_s,0.44,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,1000.0,,1000.0
glc_chem_mu_046_p,0.46,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
gam_batch_mu_046_s,0.46,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,1000.0,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glyc_batch_mu_047_s,0.47,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,1000.0,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
man_batch_mu_047_s,0.47,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_049_v,0.49,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_050_s,0.5,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_chem_mu_051_p,0.51,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
glc_salts_batch_mu_055_s,0.55,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
xyl_batch_mu_055_s,0.55,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,0.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,1000.0,1000.0
glc_batch_mu_058_s,0.58,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,,1000.0,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,,1000.0
