Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
ALATA_D2,ala__D_c,forward,C[C@@H]([NH3+])C(=O)[O-],D-Alanine,D-Alanine,ala  D
ALATA_D2,pydx5p_c,forward,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O,Pyridoxal 5'-phosphate,pyridoxal 5'-phosphate,pydx5p
SHCHD2,dscl_c,forward,C[C@@]1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])Cc3[nH]c(c(CC(=O)[O-])c3CCC(=O)[O-])/C=C3\N/C(=C\C(=[NH+]2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-],Dihydrosirohydrochlorin,Precorrin 2,dscl
SHCHD2,nad_c,forward,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Nicotinamide adenine dinucleotide,NAD(+),nad
CPPPGO,cpppg3_c,forward,Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])C2,Coproporphyrinogen III,CoproporphyrinogenIII,cpppg3
CPPPGO,h_c,forward,[H+],H+,H(+),h
CPPPGO,o2_c,forward,O=O,O2 O2,O2,o2
GTHOr,gthox_c,forward,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],Oxidized glutathione,Oxidized glutathione,gthox
GTHOr,h_c,forward,[H+],H+,H(+),h
GTHOr,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
