bnumber,gene name,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.4_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
b0003,thrB,7.70E-07,8.00E-07,8.50E-07,2.40E-06,1.00E-06,2.60E-06,1.40E-06,2.80E-06,1.70E-06,3.00E-06,1.20E-06,8.70E-07,3.90E-06,3.40E-06,1.90E-06,4.10E-06,1.80E-06,1.60E-06,2.70E-06,4.30E-06,1.70E-06,8.80E-07,2.00E-06,1.20E-06,4.80E-06,4.20E-06,5.50E-06,2.10E-06,2.90E-06,2.40E-06,2.00E-06
b0004,thrC,1.60E-05,1.60E-05,1.70E-05,2.30E-05,2.00E-05,2.20E-05,2.10E-05,2.40E-05,2.50E-05,2.70E-05,2.00E-05,2.10E-05,2.90E-05,7.90E-05,2.50E-05,3.10E-05,3.50E-05,3.90E-05,3.50E-05,3.50E-05,4.20E-05,3.50E-05,2.80E-05,3.30E-05,3.80E-05,6.10E-05,6.30E-05,5.20E-05,3.30E-05,4.90E-05,2.50E-05
b0009,mog,9.80E-07,1.10E-07,1.20E-07,,8.60E-07,4.80E-07,5.90E-08,4.50E-07,2.10E-07,,8.40E-07,1.10E-07,,1.90E-07,6.50E-07,,2.70E-07,7.00E-08,2.50E-07,,1.70E-07,8.80E-08,6.00E-07,1.30E-07,3.70E-07,,,1.70E-07,,6.50E-08,
b0025,ribF,,4.70E-07,6.10E-07,,,3.60E-06,5.20E-07,,4.40E-07,,,4.80E-07,,5.70E-07,,,5.20E-07,4.50E-07,5.60E-07,3.30E-06,5.90E-07,4.30E-07,,6.70E-07,3.30E-06,5.40E-07,3.80E-07,5.70E-07,5.20E-07,5.80E-07,6.00E-07
b0025,ribF,,4.70E-07,6.10E-07,,,3.60E-06,5.20E-07,,4.40E-07,,,4.80E-07,,5.70E-07,,,5.20E-07,4.50E-07,5.60E-07,3.30E-06,5.90E-07,4.30E-07,,6.70E-07,3.30E-06,5.40E-07,3.80E-07,5.70E-07,5.20E-07,5.80E-07,6.00E-07
b0029,ispH,8.70E-07,3.30E-07,4.10E-07,7.70E-07,9.70E-07,,4.20E-07,,5.20E-07,,9.70E-07,5.20E-07,,7.20E-07,9.50E-07,7.30E-07,6.20E-07,5.30E-07,5.20E-07,6.60E-07,7.90E-07,5.50E-07,9.40E-07,5.30E-07,6.90E-07,5.50E-07,3.80E-07,7.90E-07,4.80E-07,6.50E-07,5.10E-07
b0029,ispH,8.70E-07,3.30E-07,4.10E-07,7.70E-07,9.70E-07,,4.20E-07,,5.20E-07,,9.70E-07,5.20E-07,,7.20E-07,9.50E-07,7.30E-07,6.20E-07,5.30E-07,5.20E-07,6.60E-07,7.90E-07,5.50E-07,9.40E-07,5.30E-07,6.90E-07,5.50E-07,3.80E-07,7.90E-07,4.80E-07,6.50E-07,5.10E-07
b0031,dapB,3.00E-06,4.50E-06,4.70E-06,2.90E-06,3.40E-06,2.50E-06,4.90E-06,2.50E-06,7.10E-06,2.60E-06,3.30E-06,4.60E-06,2.80E-06,6.70E-06,3.20E-06,3.10E-06,4.80E-06,4.30E-06,6.30E-06,3.70E-06,6.70E-06,5.90E-06,5.50E-06,5.50E-06,4.40E-06,7.30E-06,9.60E-06,1.10E-05,1.40E-05,7.80E-06,1.40E-05
b0073,leuB,2.00E-05,3.70E-05,3.00E-05,2.30E-05,2.80E-05,2.50E-05,3.50E-05,2.40E-05,3.20E-05,2.30E-05,2.40E-05,2.60E-05,2.20E-05,1.20E-05,1.80E-05,1.90E-05,1.80E-05,1.70E-05,1.60E-05,1.90E-05,1.90E-05,1.60E-05,1.60E-05,2.00E-05,1.70E-05,2.50E-05,4.40E-05,1.60E-05,1.60E-05,1.70E-05,2.10E-05
b0074,leuA,2.50E-05,2.70E-05,1.80E-05,2.80E-05,3.00E-05,2.90E-05,1.90E-05,2.80E-05,1.90E-05,2.70E-05,2.30E-05,1.60E-05,2.40E-05,8.40E-06,1.70E-05,2.20E-05,1.20E-05,1.40E-05,1.20E-05,2.00E-05,1.30E-05,1.30E-05,1.30E-05,1.40E-05,1.80E-05,1.90E-05,2.30E-05,9.60E-06,7.60E-06,1.30E-05,1.60E-05
