reaction (model name),bnumber,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.4_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
3OAR140,b1093,0.13,0.28,0.47,0.22,0.26,0.23,0.49,0.26,0.59,0.31,0.38,0.73,0.35,0.64,0.49,0.41,0.68,0.58,0.74,0.46,0.76,0.76,0.56,0.97,0.52,0.86,0.91,0.76,1,1.1,1.3
5DOAN,b0159,0,0,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0.01
ACGK,b3959,2.9,0.82,1.8,2.5,5,3.8,1.7,3.3,2.4,3.2,6.8,3.9,4.4,2.1,8.4,4.4,3,2.6,2.9,5.1,2.6,2.9,8.4,4,5.2,3.4,4,2.1,3.4,2.9,2.9
ACGS,b2818,9,11,20,,14,,39,,36,130,20,33,150,33,17,160,46,48,50,200,40,43,23,30,230,46,67,40,73,49,54
ACOAD1f_reverse,b0221,7.7,6.5,9.2,12,14,17,51,37,22,21,28,16,36,24,61,40,56,79,54,73,100,42,170,32,85,130,110,190,360,96,130
ACOAD2f_reverse,b0221,7.7,6.5,9.2,12,14,17,51,37,22,21,28,16,36,24,61,40,56,79,54,73,100,42,170,32,85,130,110,190,360,96,130
ACOAD3f_reverse,b0221,7.7,6.5,9.2,12,14,17,51,37,22,21,28,16,36,24,61,40,56,79,54,73,100,42,170,32,85,130,110,190,360,96,130
ACOAD4f_reverse,b0221,7.7,6.5,9.2,12,14,17,51,37,22,21,28,16,36,24,61,40,56,79,54,73,100,42,170,32,85,130,110,190,360,96,130
ACOAD5f_reverse,b0221,7.7,6.5,9.2,12,14,17,51,37,22,21,28,16,36,24,61,40,56,79,54,73,100,42,170,32,85,130,110,190,360,96,130
ACOAD6f_reverse,b0221,6.1,5,7.2,9.7,11,13,40,29,17,16,22,12,28,19,48,31,44,62,42,57,81,33,130,25,67,98,83,150,280,75,100
ACOAD7f_reverse,b0221,2.8,2.3,3.3,4.4,5,6.1,18,13,7.8,7.5,10,5.6,13,8.7,22,14,20,28,19,26,37,15,62,11,31,45,38,67,130,34,47
ACODA,b3957,4.7,1.9,4,15,8.7,16,3.6,19,7,23,12,8.8,21,6.1,13,24,9.6,10,10,26,7.4,8.6,13,8.4,25,8.2,4.8,6.3,6.1,8.6,7.3
ADCL,b1096,,0.11,0.15,,,,0.59,,0.49,,,0.32,,0.56,,,1.4,1.2,0.62,,,,,0.67,,,0.98,1.1,1.2,,1.4
ADK1,b0474,4.8,7.3,12,6.9,6.9,7.7,15,8.4,12,9.8,12,20,12,14,17,14,17,14,23,16,24,22,18,31,15,24,16,23,26,31,30
ADNK1,b0474,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01
ADSK,b2750,,12,18,18,,19,14,18,10,17,,20,19,14,,18,15,17,17,22,16,22,,21,21,20,22,14,15,22,19
