Strain,MediumID,Medium,Stress,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041,R0042,R0043,R0044,R0045,R0046,R0047,R0048,R0049,R0050,R0051,R0052,R0053,R0054,R0055,R0056,R0057,R0058,R0059,R0060,R0061,R0062,R0063,R0064,R0065,R0066,R0067,R0068,R0069,R0070,R0071,R0072,R0073,R0074,R0075,R0076,R0077,R0078,R0079,R0080,R0081,R0082,R0083,R0084,R0085,R0086,R0087,R0088,R0089,R0090,R0091,R0092,R0093,R0094,R0095,R0096,R0097,R0098,R0099,R0100,R0101,R0102,R0103,R0104,R0105,R0106,R0107,R0108,R0109,R0100,R0111,R0112,R0113,R0114,R0115,R0116,R0117,R0118,R0119,R0120
BW25113,MD066,synthetic+Glu,none,100,63,79,79,79,165,153,25,101,36,36,18,18,11,11,7,70,70,70,60,60,60,60,25,0,0,0,0,0,0,0,2,1,8,3,1,11,4,24,31,15,9,243,0.95,0.95,0.09,0.52,0.12,0.95,0.37,5.05,9.57,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,62,80,80,80,167,157,53,136,36,36,19,18,11,11,8,82,82,56,48,74,74,96,0,4,26,26,0,0,0,0,2,1,7,3,1,10,4,21,28,14,8,281,0.95,0.95,0.01,0.65,0.06,0.94,0.3,1.34,2.2,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W3110,MD121,M9+Glu,none,100,73,83.1,83.1,83.1,171.5,159,27.1,115.7,25.5,23.6,10.5,13,10.5,0,0,25,17.2,25,13.8,17.2,19.9,14.2,26.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.6,132,73.3,0,0,0,0,0,0,109.1,0,0,0,0,204.1,96.2,63.3,122.5,177.8,-4,-6.6,-6.6,6.6,1.9,1.9,0,65.9,47,4.9,1.5,2,13.1,1.6,3.5,8.1,4.5,0.3,0,1.7,2.3,2.3,3.7,1.1,2.9,3.1,2,1.3,0.9,0.4,0.6,1.1,0.6,300,17.2,44.4,530.8,69.6,175.2,158.6,50.1,1.7,7.2,39.5,6.2,19.9,0,71.2,69,0,113.4,27.2,10.1,7.5,9,0.9,0
BW25113,MD066,synthetic+Glu,none,100,78,79,79,79,171,164,48,147,21,8,2,6,2,2,0,129,129,129,123,123,123,123,14,0,0,0,13,0,0,0,1,1,4,2,1,7,2,14,18,9,5,393,0.87,0.95,0,0.42,0,0.84,0.36,4.49,9,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,63,80,80,80,168,158,54,144,36,36,19,17,11,11,8,85,85,54,46,77,77,98,0,10,31,31,0,0,0,0,2,1,7,3,1,10,4,20,27,13,8,289,0.9,0,0,0.53,0,0.86,0.25,2.99,6.79,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,80,86,86,86,173,162,46,125,18,18,7,12,5,5,2,86,86,76,68,78,78,87,13,0,10,10,0,0,0,0,2,1,7,3,1,10,4,21,29,14,8,275,0.95,0.95,0,0.59,0,0.93,0.37,2.67,9.67,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,87,89,89,89,177,167,51,132,12,12,3,9,3,3,0,98,98,91,83,91,91,98,13,0,7,7,0,0,0,0,1,1,6,3,1,9,3,19,26,13,8,305,0.95,0.95,0,0.59,0,0.94,0.31,3.14,5.44,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,76.8,77.2,77.2,77.2,173.6,170.8,60.8,10.1,22.8,3.1,0.6,2.5,0.7,0.7,-0.1,6.9,6.9,2.3,0,-3,-3,1.6,9,0,4.6,4.6,19.7,86.2,1.7,0,0,0,0,0,0,0,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.9,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,68,82,82,82,170,160,35,114,31,31,15,16,9,9,6,87,87,87,79,79,79,79,21,0,0,0,0,0,0,0,2,1,7,3,1,10,4,20,27,13,8,290,0.92,0.92,0,0.6,0,0.92,0.33,3,9.95,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,49.2,76.7,76.7,76.7,171.9,168.2,59,16.2,50.3,44.6,27.7,16.8,14.4,14.4,13.3,11.3,11.3,11.3,8.3,8.3,8.3,8.3,7.9,0,0,0,5.7,135.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
