Model Name,Organism,Genome ID,Taxonomy ID
e_coli_core,Escherichia coli str. K-12 substr. MG1655,NC_000913.3,511145
iAB_RBC_283,Homo sapiens,GCF_000001405.33,9606
iAF1260,Escherichia coli str. K-12 substr. MG1655,NC_000913.3,511145
iAF1260b,Escherichia coli str. K-12 substr. MG1655,NC_000913.3,511145
iAF692,Methanosarcina barkeri str. Fusaro,CP000099.1,269797
iAF987,Geobacter metallireducens GS-15,CP000148.1,269799
iAM_Pb448,Plasmodium berghei,NC_036159.1,5821
iAM_Pc455,Plasmodium cynomolgi strain B,NC_020396.1,1120755
iAM_Pf480,Plasmodium falciparum 3D7,NC_004325.2,36329
iAM_Pk459,Plasmodium knowlesi strain H,NC_011902.1,5851
iAM_Pv461,Plasmodium vivax Sal-1,NC_009906.1,5855
iAPECO1_1312,Escherichia coli APEC O1,NC_008563.1,405955
iAT_PLT_636,Homo sapiens,GCF_000001405.33,9606
iB21_1397,Escherichia coli BL21(DE3),AM946981.2,469008
iBWG_1329,Escherichia coli BW2952,NC_012759.1,595496
ic_1306,Escherichia coli CFT073,NC_004431.1,199310
iCHOv1,Cricetulus griseus,NC_007936.1,10029
iCHOv1_DG44,Cricetulus griseus,NC_007936.1,10029
iCN718,Acinetobacter baumannii AYE,NC_010410.1,509173
iCN900,Clostridioides difficile 630,AM180355.1,272563
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,NC_011601.1,574521
iEC042_1314,Escherichia coli 042,FN554766.1,216592
iEC1344_C,Escherichia coli C,NZ_CP020543.1,498388
iEC1349_Crooks,Escherichia coli ATCC 8739,NC_010468.1,481805
iEC1356_Bl21DE3,Escherichia coli BL21(DE3),NC_012971.2,469008
iEC1364_W,Escherichia coli W,CP002185.1,566546
iEC1368_DH5a,Escherichia coli DH5[alpha],NZ_JRYM01000089.1,668369
iEC1372_W3110,Escherichia coli str. K-12 substr. W3110,NC_007779.1,316407
iEC55989_1330,Escherichia coli 55989,CU928145.2,585055
iECABU_c1320,Escherichia coli ABU 83972,CP001671.1,655817
