ENSP,ENSG
ENSP00000351035,ENSG00000198189
ENSP00000423775,ENSG00000198189
ENSP00000308938,ENSG00000122194
ENSP00000355891,ENSG00000122194
ENSP00000389424,ENSG00000122194
ENSP00000516618,ENSG00000122194
ENSP00000516619,ENSG00000122194
ENSP00000516620,ENSG00000122194
ENSP00000272252,ENSG00000143891
ENSP00000386233,ENSG00000143891
ENSP00000399473,ENSG00000143891
ENSP00000409083,ENSG00000143891
ENSP00000354387,ENSG00000106733
ENSP00000366004,ENSG00000106733
ENSP00000366007,ENSG00000106733
ENSP00000435736,ENSG00000106733
ENSP00000364035,ENSG00000165591
ENSP00000317404,ENSG00000180767
ENSP00000301175,ENSG00000250799
ENSP00000465214,ENSG00000250799
ENSP00000474199,ENSG00000250799
ENSP00000499779,ENSG00000250799
ENSP00000398803,ENSG00000104522
ENSP00000431587,ENSG00000104522
ENSP00000432088,ENSG00000104522
ENSP00000433331,ENSG00000104522
ENSP00000435240,ENSG00000104522
ENSP00000435386,ENSG00000104522
ENSP00000436405,ENSG00000104522
ENSP00000437012,ENSG00000104522
ENSP00000478042,ENSG00000104522
ENSP00000487640,ENSG00000104522
ENSP00000487853,ENSG00000104522
ENSP00000487980,ENSG00000104522
ENSP00000488203,ENSG00000104522
ENSP00000488379,ENSG00000104522
ENSP00000488496,ENSG00000104522
ENSP00000488614,ENSG00000104522
ENSP00000267085,ENSG00000139631
ENSP00000369175,ENSG00000139631
ENSP00000369179,ENSG00000139631
ENSP00000390269,ENSG00000139631
ENSP00000401078,ENSG00000139631
ENSP00000410648,ENSG00000139631
ENSP00000415314,ENSG00000139631
ENSP00000415485,ENSG00000139631
ENSP00000436800,ENSG00000139631
ENSP00000449373,ENSG00000139631
ENSP00000455618,ENSG00000139631
ENSP00000457264,ENSG00000139631
ENSP00000353600,ENSG00000213648
ENSP00000455063,ENSG00000213648
ENSP00000456834,ENSG00000213648
ENSP00000457597,ENSG00000213648
ENSP00000324726,ENSG00000177192
ENSP00000365837,ENSG00000177192
ENSP00000392451,ENSG00000177192
ENSP00000409705,ENSG00000177192
ENSP00000438948,ENSG00000177192
ENSP00000440179,ENSG00000177192
ENSP00000440326,ENSG00000177192
ENSP00000443969,ENSG00000177192
ENSP00000445819,ENSG00000177192
ENSP00000008686,ENSG00000007944
ENSP00000349298,ENSG00000007944
ENSP00000520754,ENSG00000007944
ENSP00000520755,ENSG00000007944
ENSP00000380184,ENSG00000158669
ENSP00000428630,ENSG00000158669
ENSP00000428648,ENSG00000158669
ENSP00000429477,ENSG00000158669
ENSP00000400572,ENSG00000204227
ENSP00000396271,ENSG00000204227
ENSP00000396439,ENSG00000204227
ENSP00000363787,ENSG00000204227
ENSP00000372699,ENSG00000204227
ENSP00000412190,ENSG00000204227
ENSP00000365456,ENSG00000175198
ENSP00000365462,ENSG00000175198
ENSP00000365463,ENSG00000175198
ENSP00000390850,ENSG00000175198
ENSP00000396050,ENSG00000175198
ENSP00000399413,ENSG00000175198
ENSP00000400740,ENSG00000175198
ENSP00000411194,ENSG00000175198
ENSP00000489804,ENSG00000175198
ENSP00000489974,ENSG00000175198
ENSP00000490290,ENSG00000175198
ENSP00000490843,ENSG00000175198
ENSP00000490939,ENSG00000175198
ENSP00000495663,ENSG00000175198
ENSP00000225609,ENSG00000108474
ENSP00000379185,ENSG00000108474
ENSP00000462432,ENSG00000108474
ENSP00000463540,ENSG00000108474
ENSP00000463754,ENSG00000108474
ENSP00000464424,ENSG00000108474
ENSP00000470064,ENSG00000108474
ENSP00000485657,ENSG00000108474
ENSP00000301965,ENSG00000168237
ENSP00000389175,ENSG00000168237
ENSP00000417264,ENSG00000168237
ENSP00000417526,ENSG00000168237
ENSP00000418951,ENSG00000168237
ENSP00000419008,ENSG00000168237
ENSP00000419868,ENSG00000168237
ENSP00000416583,ENSG00000023697
ENSP00000431757,ENSG00000023697
ENSP00000432633,ENSG00000023697
ENSP00000433051,ENSG00000023697
ENSP00000433801,ENSG00000023697
ENSP00000434973,ENSG00000023697
ENSP00000435683,ENSG00000023697
ENSP00000436999,ENSG00000023697
ENSP00000361965,ENSG00000196839
ENSP00000440946,ENSG00000196839
ENSP00000441818,ENSG00000196839
ENSP00000446464,ENSG00000196839
ENSP00000512234,ENSG00000196839
ENSP00000512240,ENSG00000196839
ENSP00000512241,ENSG00000196839
ENSP00000512270,ENSG00000196839
ENSP00000512281,ENSG00000196839
ENSP00000512285,ENSG00000196839
ENSP00000512286,ENSG00000196839
ENSP00000512314,ENSG00000196839
ENSP00000512315,ENSG00000196839
ENSP00000512316,ENSG00000196839
ENSP00000512317,ENSG00000196839
ENSP00000512318,ENSG00000196839
ENSP00000512324,ENSG00000196839
ENSP00000512325,ENSG00000196839
ENSP00000512326,ENSG00000196839
ENSP00000512333,ENSG00000196839
ENSP00000512343,ENSG00000196839
ENSP00000512344,ENSG00000196839
ENSP00000512361,ENSG00000196839
ENSP00000512362,ENSG00000196839
ENSP00000512363,ENSG00000196839
ENSP00000512364,ENSG00000196839
ENSP00000512365,ENSG00000196839
ENSP00000512366,ENSG00000196839
ENSP00000512367,ENSG00000196839
ENSP00000512368,ENSG00000196839
ENSP00000512374,ENSG00000196839
ENSP00000512375,ENSG00000196839
ENSP00000512376,ENSG00000196839
ENSP00000512377,ENSG00000196839
ENSP00000512378,ENSG00000196839
ENSP00000512379,ENSG00000196839
ENSP00000512380,ENSG00000196839
ENSP00000512399,ENSG00000196839
ENSP00000512400,ENSG00000196839
ENSP00000270142,ENSG00000142168
ENSP00000374645,ENSG00000142168
ENSP00000355607,ENSG00000116906
ENSP00000402811,ENSG00000116906
ENSP00000411640,ENSG00000116906
ENSP00000496537,ENSG00000116906
ENSP00000210060,ENSG00000095059
ENSP00000221303,ENSG00000095059
ENSP00000468889,ENSG00000095059
ENSP00000468993,ENSG00000095059
ENSP00000469366,ENSG00000095059
ENSP00000470188,ENSG00000095059
ENSP00000470754,ENSG00000095059
ENSP00000471280,ENSG00000095059
ENSP00000471466,ENSG00000095059
ENSP00000471886,ENSG00000095059
ENSP00000472094,ENSG00000095059
ENSP00000472096,ENSG00000095059
ENSP00000472122,ENSG00000095059
ENSP00000472330,ENSG00000095059
ENSP00000472348,ENSG00000095059
ENSP00000311453,ENSG00000073417
ENSP00000340679,ENSG00000073417
ENSP00000378056,ENSG00000073417
ENSP00000431976,ENSG00000073417
ENSP00000432309,ENSG00000073417
ENSP00000452907,ENSG00000073417
ENSP00000453808,ENSG00000073417
ENSP00000454094,ENSG00000073417
ENSP00000302620,ENSG00000172482
ENSP00000328983,ENSG00000183196
ENSP00000375079,ENSG00000183196
ENSP00000496806,ENSG00000183196
ENSP00000497635,ENSG00000183196
ENSP00000304592,ENSG00000169710
ENSP00000462949,ENSG00000169710
ENSP00000488964,ENSG00000169710
ENSP00000489514,ENSG00000169710
ENSP00000489808,ENSG00000169710
ENSP00000490553,ENSG00000169710
ENSP00000490921,ENSG00000169710
